,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Holding_Policy_Duration,Reco_Policy_Premium,Response,X1,X2,X3,X4,X5,X6,X7,X8,Age,City_Code_C10-C18,City_Code_C19-C27,City_Code_C28-C36,Holding_Policy_Type_2.0,Holding_Policy_Type_3.0,Holding_Policy_Type_4.0,Reco_Policy_Cat_12-15,Reco_Policy_Cat_16-22,Reco_Policy_Cat_6-11
0,1,1,0,15,13320.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0,0,0,1,0,0,0,1,0
1,1,1,0,10,16152.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,0,0,0,0,0,0,0,1,0
2,0,1,0,3,7310.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,0,0,0,1,0
3,0,1,0,1,15792.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0,1,0,0,1,0,0,1,0
4,1,0,1,15,23673.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0,0,0,0,0,1,0,1,0
5,1,1,0,3,13176.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0,1,0,0,0,0,0,1,0
6,0,1,0,15,6880.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,1,0,0,0,1,0,0,1,0
7,0,1,0,15,14080.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0,0,0,0,1,0,0,0,1
8,0,1,0,1,8946.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0,0,0,0,1,0,0,1,0
9,0,1,0,15,7572.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0,0,0,0,1,0,1,0,0
10,1,0,0,7,14256.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.5,1,0,0,0,1,0,0,1,0
11,1,1,0,15,8076.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,1,0,0,1,0
12,1,1,0,7,16666.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,0,0,0,1,0,1,0,0
13,1,1,0,15,8800.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0,1,0,0,1,0,1,0,0
14,0,1,0,15,7524.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0,1,0,0,1,0,1,0,0
15,1,0,1,15,28940.8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0,0,0,0,1,0,0,1,0
16,1,1,0,13,10134.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0,0,0,0,0,1,0,1,0
17,1,1,0,15,13618.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0,0,0,0,1,0,0,1,0
18,0,0,0,9,30329.6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0,0,0,0,0,1,0,1,0
19,1,1,0,15,17440.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0,0,0,0,1,0,0,1,0
20,1,0,1,13,25728.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1,0,0,0,1,0,0,0,0
21,1,1,0,1,8800.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,1,0,0,0,1,0,1,0,0
22,1,1,0,7,9044.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0,0,0,0,0,1,0,1,0
23,0,1,0,15,6610.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0,1,0,0,1,0,0,0,1
24,1,1,0,8,15912.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0,0,0,1,0,0,0,1,0
25,0,0,1,15,21087.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.5,1,0,0,0,1,0,0,1,0
26,1,0,1,14,28896.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,0,0,0,1,0,1,0
27,1,0,0,15,23755.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,1,0,0,1,0,0,1,0
28,0,1,0,15,10374.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,0,0,1,0,0,1,0
29,0,1,0,15,10116.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,1,0,0,0,1,0,1,0,0
30,1,0,1,2,8560.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.5,1,0,0,0,1,0,1,0,0
31,0,1,0,15,6400.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0,0,0,0,1,0,0,1,0
32,0,0,1,15,16480.8,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,0,0,1,0,0,0,1
33,1,0,1,15,18270.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,0,0,0,1,0,0,1,0
34,1,1,0,2,14872.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0,0,0,0,0,0,0,1,0
35,1,0,0,15,22035.2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0,0,0,0,1,0,0,1,0
36,1,0,1,15,26790.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0,0,0,0,1,0,0,1,0
37,1,1,0,15,13728.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0,0,0,0,1,0,0,1,0
38,0,1,0,8,9648.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0,0,0,0,1,0,0,1,0
39,0,1,0,15,3942.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,0,0,0,1,0,1,0,0
40,0,1,0,4,15600.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0,0,0,0,0,0,0,1,0
41,0,1,0,15,3768.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1,0,0,0,1,0,0,0,1
42,0,1,0,15,12654.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0,0,0,0,1,0,0,1,0
43,1,0,1,15,31257.4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74.5,0,0,0,0,1,0,0,1,0
44,0,1,0,2,8816.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,1,0,1,0,1,0,0
45,1,0,1,15,21599.2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,0,0,0,0,1,0,0,1,0
46,1,1,0,1,19380.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1,0,0,0,0,0,0,1,0
